-3.272492	4.663510	-nan
-3.207043	4.286153	-nan
-3.141593	3.932100	-nan
-3.076143	3.600434	-nan
-3.010693	3.290245	-nan
-2.945243	3.000632	-nan
-2.879793	2.730702	-nan
-2.814343	2.479573	-nan
-2.748894	2.246376	-nan
-2.683444	2.030253	-nan
-2.617994	1.830361	-nan
-2.552544	1.645872	-nan
-2.487094	1.475974	-nan
-2.421644	1.319872	-nan
-2.356194	1.176789	-nan
-2.290745	1.045968	-nan
-2.225295	0.926672	-nan
-2.159845	0.818183	-nan
-2.094395	0.719805	-nan
-2.028945	0.630867	-nan
-1.963495	0.550717	-nan
-1.898046	0.478729	-nan
-1.832596	0.414300	-nan
-1.767146	0.356851	-nan
-1.701696	0.305828	-nan
-1.636246	0.260703	-nan
-1.570796	0.220971	-nan
-1.505346	0.186154	-nan
-1.439897	0.155799	-nan
-1.374447	0.129478	-nan
-1.308997	0.106788	-nan
-1.243547	0.087352	-nan
-1.178097	0.070815	-nan
-1.112647	0.056850	-nan
-1.047198	0.045152	-nan
-0.981748	0.035439	-nan
-0.916298	0.027453	-nan
-0.850848	0.020957	-nan
-0.785398	0.015736	-nan
-0.719948	0.011596	-nan
-0.654498	0.008364	-nan
-0.589049	0.005884	-nan
-0.523599	0.004020	-nan
-0.458149	0.002651	-nan
-0.392699	0.001673	-nan
-0.327249	0.001000	-nan
-0.261799	0.000555	-nan
-0.196350	0.000277	-nan
-0.130900	0.000117	-nan
-0.065450	0.000034	-nan
0.000000	0.000000	-nan
0.065450	-0.000008	-nan
0.130900	-0.000005	-nan
0.196350	0.000000	-nan
0.261799	0.000003	-nan
0.327249	0.000003	-nan
0.392699	-0.000000	-nan
0.458149	-0.000003	-nan
0.523599	-0.000003	-nan
0.589049	0.000000	-nan
0.654498	0.000005	-nan
0.719948	0.000008	-nan
0.785398	0.000000	-nan
0.850848	-0.000032	-nan
0.916298	-0.000109	-nan
0.981748	-0.000255	-nan
1.047198	-0.000507	-nan
1.112647	-0.000905	-nan
1.178097	-0.001500	-nan
1.243547	-0.002355	-nan
1.308997	-0.003539	-nan
1.374447	-0.005132	-nan
1.439897	-0.007228	-nan
1.505346	-0.009929	-nan
1.570796	-0.013348	-nan
1.636246	-0.017611	-nan
1.701696	-0.022855	-nan
1.767146	-0.029227	-nan
1.832596	-0.036886	-nan
1.898046	-0.046004	-nan
1.963495	-0.056760	-nan
2.028945	-0.069346	-nan
2.094395	-0.083963	-nan
2.159845	-0.100823	-nan
2.225295	-0.120143	-nan
2.290745	-0.142154	-nan
2.356194	-0.167089	-nan
2.421644	-0.195191	-nan
2.487094	-0.226708	-nan
2.552544	-0.261895	-nan
2.617994	-0.301007	-nan
2.683444	-0.344307	-nan
2.748894	-0.392056	-nan
2.814343	-0.444520	-nan
2.879793	-0.501962	-nan
2.945243	-0.564645	-nan
3.010693	-0.632831	-nan
3.076143	-0.706776	-nan
3.141593	-0.786733	-nan
3.207043	-0.872949	-nan
